StandardizedName	StrainName	Paper	SRA	Coverage	GeographicOrigin	EcoOrigin	Country	Continent	Comment	PositionOnTree	Clade	SuperClade	Ploidy	NbHetSNPs	Heterozygosity	Zygosity	Aneuploidy
CBN	NCYC_88	Peter et al. 2018	ERR1309233	228.99	UK	Beer	United Kingdom	Europe		1330.0	12. Belgium Beer 1		2	162.0	1.73e-05	Homozygous	euploid
CBR	NCYC_1187	Peter et al. 2018	ERR1308964	149.84	UK	Beer	United Kingdom	Europe		1751.0	19. UK Beer	S2. Beer	4	33245.0	0.00354841	Heterozygous	euploid
CCC	CLQCA_20-156	Peter et al. 2018	ERR1309090	260.35	Yasuni_Orellana	Flower	Ecuador	South America		2716.0	34. South American Wild	S4. Wild	2	89.0	9.5e-06	Homozygous	euploid
CCD	CLQCA_20-184	Peter et al. 2018	ERR1308655	401.27	Yasuni_Orellana	Flower	Ecuador	South America		2712.0	34. South American Wild	S4. Wild	2	89.0	9.5e-06	Homozygous	euploid
CCE	CLQCA_20-221	Peter et al. 2018	ERR1309224	327.66	Yasuni_Orellana	Flower	Ecuador	South America		2714.0	34. South American Wild	S4. Wild	2	70.0	7.47e-06	Homozygous	euploid
CCF	CLQCA_20-246	Peter et al. 2018	ERR1308971	378.6	Yasuni_Orellana	Insect	Ecuador	South America		2715.0	34. South American Wild	S4. Wild	2	70.0	7.47e-06	Homozygous	euploid
CCG	CLQCA_20-259	Peter et al. 2018	ERR1309013	304.15	Yasuni_Orellana	Fruit	Ecuador	South America		2717.0	34. South American Wild	S4. Wild	2	89.0	9.5e-06	Homozygous	euploid
CCH	CLQCA_20-314	Peter et al. 2018	ERR1308722	191.37	Yasuni_Orellana	Insect	Ecuador	South America		2713.0	34. South American Wild	S4. Wild	2	87.0	9.29e-06	Homozygous	aneu;+1*16;
CCI	CLQCA_20-248	Peter et al. 2018	ERR1309222	208.95	Yasuni_Orellana	Insect	Ecuador	South America		2718.0	34. South American Wild	S4. Wild	2	88.0	9.39e-06	Homozygous	euploid
CCL	N19-1C	Peter et al. 2018	ERR1309248	298.15	Gelendzhik region_Caucasus_Russia	Tree	Russia	Europe		1435.0	14. Mediterranean Oak		2	45.0	4.8e-06	Homozygous	euploid
CCM	N493-2C	Peter et al. 2018	ERR1309012	261.98	Kiev district_Ukraine	Tree	Ukraine	Europe		178.0	1. AU Wine 1	S1. Wine	2	30.0	3.2e-06	Homozygous	euploid
CCN	VKM_Y-504:S	Peter et al. 2018	ERR1308732	261.74	Russian Far East	Fruit	Russia	Europe		2742.0	35. Chinese Wild	S4. Wild	2	116.0	1.24e-05	Homozygous	euploid
CCP	IFO_0877:6-1	Peter et al. 2018	ERR1308741	205.35	Japan	Tree	Japan	Asia		2994.0	39. Asian Oak	S4. Wild	2	84.0	8.97e-06	Homozygous	euploid
CCQ	Ksc2-2B	Peter et al. 2018	ERR1308830	240.35	Japan	Tree	Japan	Asia		2733.0		S4. Wild	2	127.0	1.36e-05	Homozygous	euploid
CCR	Ksc40-8A	Peter et al. 2018	ERR1309198	246.68	Japan	Tree	Japan	Asia		2734.0		S4. Wild	2	64.0	6.83e-06	Homozygous	euploid
CCS	Ksc73-2D	Peter et al. 2018	ERR1309150	258.35	Japan	Tree	Japan	Asia		2736.0	35. Chinese Wild	S4. Wild	2	146.0	1.56e-05	Homozygous	euploid
CCT	S11F3-6B	Peter et al. 2018	ERR1308694	222.87	Sri Lanka	Tree	Sri Lanka	Asia		2918.0	38. Taiwan Wild 2	S4. Wild	2	113.0	1.21e-05	Homozygous	euploid
CCV	S8BM-30-2D	Peter et al. 2018	ERR1309363	198.61	Sri Lanka	Tree	Sri Lanka	Asia		2919.0	38. Taiwan Wild 2	S4. Wild	2	90.0	9.61e-06	Homozygous	euploid
CDA	S8BM-32-4D(a)	Peter et al. 2018	ERR1308658	246.65	Sri Lanka	Tree	Sri Lanka	Asia		2917.0	38. Taiwan Wild 2	S4. Wild	1	96.0	1.02e-05	Homozygous	euploid
CDB	ATCC_66348-1D	Peter et al. 2018	ERR1309270	192.14	Japan	Soil	Japan	Asia		3003.0		S4. Wild	2	69.0	7.36e-06	Homozygous	euploid
CDC	N37-1A	Peter et al. 2018	ERR1309331	233.83	Botanical Garden_Novosibirsk_Siberia_Russia	Tree	Russia	Europe		2235.0			2	121.0	1.29e-05	Homozygous	aneu;+1*5;
CDD	N38-4A	Peter et al. 2018	ERR1308950	221.26	Botanical Garden_Novosibirsk_Siberia_Russia	Tree	Russia	Europe		2236.0			2	105.0	1.12e-05	Homozygous	euploid
CDE	N39-7A	Peter et al. 2018	ERR1308715	202.21	Novosibirsk_Siberia_Russia	Tree	Russia	Europe		2237.0			2	101.0	1.08e-05	Homozygous	euploid
CDF	N22.00-5D	Peter et al. 2018	ERR1308604	224.25	Botanical garden_Blagoveshchensk_Russia	Fruit	Russia	Europe		2954.0	39. Asian Oak	S4. Wild	2	119.0	1.27e-05	Homozygous	euploid
CDG	N3.00-7A	Peter et al. 2018	ERR1309441	268.5	Botanical garden_Blagoveshchensk_Russia	Wine	Russia	Europe		2955.0	39. Asian Oak	S4. Wild	2	118.0	1.26e-05	Homozygous	euploid
CDH	N159.01-2B	Peter et al. 2018	ERR1309449	201.15	Botanical garden_Blagoveshchensk_Russia	Tree	Russia	Europe		2952.0	39. Asian Oak	S4. Wild	2	108.0	1.15e-05	Homozygous	euploid
CDI	N163.01-5A	Peter et al. 2018	ERR1309078	185.12	Botanical garden_Blagoveshchensk_Russia	Tree	Russia	Europe		2953.0	39. Asian Oak	S4. Wild	2	111.0	1.18e-05	Homozygous	euploid
CDK	CCY_21-4-93:6B	Peter et al. 2018	ERR1309085	164.67	North Korea	Tree	North Korea	North Korea		2314.0		S3. Asian Fermentation	1	39.0	4.16e-06	Homozygous	euploid
CDL	N51-1A	Peter et al. 2018	ERR1309032	261.45	Vladivostok_Russian Far East	Tree	Russia	Europe		2740.0	35. Chinese Wild	S4. Wild	2	131.0	1.4e-05	Homozygous	euploid
CDM	UFRJ_50613-2D(a)	Peter et al. 2018	ERR1308794	259.8	Rio de Janeiro_Brazil	Water	Brazil	South America		1604.0			2	41.0	4.38e-06	Homozygous	euploid
CDN	UCD_61-190-6A	Peter et al. 2018	ERR1308637	252.91	California_USA	Insect	USA	North America		2689.0		S4. Wild	2	117.0	1.25e-05	Homozygous	aneu;+2*1;+2*3;
CDP	N95-5-1A	Peter et al. 2018	ERR1309100	267.44	Augusta_MI 49012_USA	Tree	USA	North America		2844.0	36. North American Wild	S4. Wild	2	93.0	9.93e-06	Homozygous	euploid
CDQ	N95-6-1C	Peter et al. 2018	ERR1308783	231.94	Augusta_MI 49012_USA	Tree	USA	North America		2829.0		S4. Wild	2	101.0	1.08e-05	Homozygous	euploid
CDR	CECT10331:9-1	Peter et al. 2018	ERR1309163	231.22	Spain	Flower	Spain	Europe		1780.0	20. Mixed Origins 1	S2. Beer	2	116.0	1.24e-05	Homozygous	euploid
CDS	CECT10351-1B	Peter et al. 2018	ERR1309411	287.16	Spain	Fruit	Spain	Europe		497.0	6. West Europe Wine	S1. Wine	2	10.0	1.07e-06	Homozygous	euploid
CDT	CECT10171-5B	Peter et al. 2018	ERR1308726	228.64	Spain	Insect	Spain	Europe		306.0	3. Alpechin		2	335.0	3.58e-05	Homozygous	euploid
CDV	DBVPG1616-1D	Peter et al. 2018	ERR1309031	274.72	Spain	Soil	Spain	Europe		508.0	6. West Europe Wine	S1. Wine	2	16.0	1.71e-06	Homozygous	euploid
CEA	DBVPG1617-5A	Peter et al. 2018	ERR1309111	266.96	Spain	Soil	Spain	Europe		512.0	6. West Europe Wine	S1. Wine	1	7.0	7.47e-07	Homozygous	euploid
CEB	DBVPG1619-4B	Peter et al. 2018	ERR1309017	238.93	Spain	Soil	Spain	Europe		513.0	6. West Europe Wine	S1. Wine	1	6.0	6.4e-07	Homozygous	euploid
CEC	DBVPG1620-1A	Peter et al. 2018	ERR1308870	269.92	Spain	Soil	Spain	Europe		516.0	6. West Europe Wine	S1. Wine	2	12.0	1.28e-06	Homozygous	euploid
CED	DBVPG1621-5A	Peter et al. 2018	ERR1308922	270.3	Spain	Soil	Spain	Europe		504.0	6. West Europe Wine	S1. Wine	2	10.0	1.07e-06	Homozygous	aneu;+1*8;
CEE	DBVPG1622-8B	Peter et al. 2018	ERR1309037	242.8	Spain	Soil	Spain	Europe		519.0	6. West Europe Wine	S1. Wine	2	7.0	7.47e-07	Homozygous	euploid
CEF	DBVPG1623-2A	Peter et al. 2018	ERR1308703	249.5	Spain	Soil	Spain	Europe		509.0	6. West Europe Wine	S1. Wine	2	11.0	1.17e-06	Homozygous	euploid
CEG	EM14S01-3B	Peter et al. 2018	ERR1309189	226.44	Taiwan	Soil	Taiwan	Asia		2791.0	35. Chinese Wild	S4. Wild	2	81.0	8.65e-06	Homozygous	euploid
CEH	ES2M03-7A	Peter et al. 2018	ERR1308704	250.26	Taiwan	Fruit	Taiwan	Asia		2969.0	39. Asian Oak	S4. Wild	2	108.0	1.15e-05	Homozygous	euploid
CEI	GE14S01-7B	Peter et al. 2018	ERR1308746	193.22	Taiwan	Soil	Taiwan	Asia		2789.0	35. Chinese Wild	S4. Wild	2	110.0	1.17e-05	Homozygous	euploid
CEK	JCM_2985-4B	Peter et al. 2018	ERR1309167	234.89	Thailand	Fermentation	Thailand	Asia		2584.0	31. Huangjiu	S3. Asian Fermentation	2	72.0	7.68e-06	Homozygous	euploid
CEL	JCM_3529-7B	Peter et al. 2018	ERR1308750	291.54	Thailand	Fermentation	Thailand	Asia		2585.0	31. Huangjiu	S3. Asian Fermentation	2	66.0	7.04e-06	Homozygous	euploid
CEM	CCY_21-4-89:7-3	Peter et al. 2018	ERR1308774	202.78	North Korea	Fermentation	North Korea	North Korea		2315.0			1	53.0	5.66e-06	Homozygous	euploid
CEN	ATCC_38618:2-2	Peter et al. 2018	ERR1309405	199.08		Fruit				2102.0	25. US Clinical 1		2	427.0	4.56e-05	Homozygous	aneu;+1*12;+1*14;
CEP	ATCC_52922-1C	Peter et al. 2018	ERR1308631	295.14	Philippines	Fermentation	Philippines	Asia		2386.0	28. Baiju	S3. Asian Fermentation	2	116.0	1.24e-05	Homozygous	aneu;+1*8;
CEQ	MUCL_30909-2C	Peter et al. 2018	ERR1308767	160.9	Burundi	Fermentation	Burundi	Africa		2643.0			2	104.0	1.11e-05	Homozygous	euploid
CER	N34:2-4(a)	Peter et al. 2018	ERR1308780	228.67	Ghana	Bakery	Ghana	Africa		1495.0	15. African Beer		2	70.0	7.47e-06	Homozygous	euploid
CES	N26-1-10:7-5(a)	Peter et al. 2018	ERR1309165	142.58	Ghana	Bakery	Ghana	Africa		1496.0	15. African Beer		2	125.0	1.33e-05	Homozygous	aneu;-1*1;
CET	N134:7-1(a)	Peter et al. 2018	ERR1309358	231.75	Ghana	Bakery	Ghana	Africa		1494.0	15. African Beer		2	157.0	1.68e-05	Homozygous	aneu;+1*9;
CEV	IFO_0289:4-3(b)	Peter et al. 2018	ERR1308745	564.25	China	Distillery	China	Asia		2507.0	30. Mantou	S3. Asian Fermentation	1	52.0	5.55e-06	Homozygous	euploid
CFA	Dji2-2A(a)	Peter et al. 2018	ERR1308896	277.09	Djibouti	Palm wine	Djibouti	Africa		2645.0			2	52.0	5.55e-06	Homozygous	euploid
CFB	ho_SB	Peter et al. 2018	ERR1309183	260.17	Bordeaux	Wine	France	Europe		384.0		S1. Wine	2	154.0	1.64e-05	Homozygous	aneu;+2*9;
CFC	4.5_WLP530	Peter et al. 2018	ERR1308839	216.24	Westmalle_Belgium	Beer	Belgium	Europe		1645.0		S2. Beer	4	40127.0	0.00428296	Heterozygous	euploid
CFD	1.3_Safale_US05	Peter et al. 2018	ERR1309393	189.8	USA	Beer	USA	North America		1708.0	19. UK Beer	S2. Beer	4	23044.0	0.00245961	Heterozygous	aneu;+1*6;
CFE	4.9_WLP099	Peter et al. 2018	ERR1309225	271.61	United Kingdom	Beer	United Kingdom	Europe		716.0	7. AU Wine 3	S1. Wine	2	4708.0	0.00050251	Heterozygous	euploid
CFF	6.2_WLP570	Peter et al. 2018	ERR1309102	254.27	Belgium	Beer	Belgium	Europe		1339.0	12. Belgium Beer 1		2	18586.0	0.00198378	Heterozygous	euploid
CFG	1.6_Safale_S40	Peter et al. 2018	ERR1309291	275.51	UK	Beer	United Kingdom	Europe		1753.0	19. UK Beer	S2. Beer	4	32941.0	0.00351596	Heterozygous	euploid
CFH	Nottingham_ale_1.8_Lallemand	Peter et al. 2018	ERR1309433	222.43	UK	Beer	United Kingdom	Europe		1761.0	19. UK Beer	S2. Beer	4	33143.0	0.00353752	Heterozygous	aneu;-1*7;
CFI	2.6_Windsor_British	Peter et al. 2018	ERR1309381	253.02	UK	Beer	United Kingdom	Europe		1885.0		S2. Beer	4	49875.0	0.00532342	Heterozygous	aneu;+1*9;
CFM	5.5_WLP090	Peter et al. 2018	ERR1309468	257.76	San Diego_USA	Beer	USA	North America		1705.0	19. UK Beer	S2. Beer	4	23709.0	0.00253058	Heterozygous	euploid
CFN	3.3_Safale_S-33	Peter et al. 2018	ERR1308648	276.98		Beer				1886.0		S2. Beer	4	49684.0	0.00530303	Heterozygous	aneu;+1*9;
CFP	3.4_Safbrew_T-58	Peter et al. 2018	ERR1308594	225.39		Beer				1876.0	20. Mixed Origins 1	S2. Beer	4	50247.0	0.00536312	Heterozygous	euploid
CFQ	UCD_40-235	Peter et al. 2018	ERR1309367	339.5	Walnut Creek_California	Wine	USA	North America		480.0	6. West Europe Wine	S1. Wine	2	50.0	5.34e-06	Homozygous	euploid
CFR	UCD_40-248	Peter et al. 2018	ERR1309312	218.8	Tulare Winery_California	Wine	USA	North America		485.0	6. West Europe Wine	S1. Wine	2	10.0	1.07e-06	Homozygous	euploid
CFS	UCD_40-255	Peter et al. 2018	ERR1309156	301.5	Walnut Creek_California	Wine	USA	North America		475.0	6. West Europe Wine	S1. Wine	4	58.0	6.19e-06	Homozygous	aneu;+1*2;-1*6;
CFT	UCD_40-346	Peter et al. 2018	ERR1309351	245.9	Fresno area_ California	Fruit	USA	North America		1610.0			2	20145.0	0.00215018	Heterozygous	aneu;+1*5;+1*9;
CFV	UCD_40-49	Peter et al. 2018	ERR1309169	290.71		Fruit				119.0	1. AU Wine 1	S1. Wine	2	15.0	1.6e-06	Homozygous	aneu;+1*1;+1*4;
CGB	UCD_05-780	Peter et al. 2018	ERR1309190	211.13	Winters_CA Wolfskill USDA Prunus germplasm collection_	Insect	USA	North America		1587.0	16. Canadian Wine		2	66.0	7.04e-06	Homozygous	euploid
CGC	UCD_06-645	Peter et al. 2018	ERR1309334	302.37	Davis_CA_UCD	Fruit	USA	North America		1678.0	18. Belgium Beer 2	S2. Beer	4	29815.0	0.00318231	Heterozygous	euploid
CGD	UCD_09-448	Peter et al. 2018	ERR1309434	189.99	Davis_CA_UCD	Fruit	USA	North America		312.0	3. Alpechin		2	277.0	2.96e-05	Homozygous	euploid
CGE	UCD_11-601	Peter et al. 2018	ERR1308720	190.44	Davis_CA_UCD Food Science_Pilot plant.	Fruit	USA	North America		313.0	3. Alpechin		2	305.0	3.26e-05	Homozygous	euploid
CGG	TayTa	Peter et al. 2018	ERR1309326	231.03	Long An_South Vietnam		Vietnam	Asia		2553.0	30. Mantou	S3. Asian Fermentation	2	6603.0	0.00070477	Heterozygous	euploid
CGH	VNL3	Peter et al. 2018	ERR1309139	267.74	Ha Noi_North Vietnam		Vietnam	Asia		2362.0		S3. Asian Fermentation	3	16506.0	0.00176177	Heterozygous	euploid
CGI	Me7	Peter et al. 2018	ERR1308692	269.73	Cai Be_South Vietnam		Vietnam	Asia		2552.0	30. Mantou	S3. Asian Fermentation	2	9437.0	0.00100726	Heterozygous	euploid
CGK	Lx2	Peter et al. 2018	ERR1309239	253.07	Dong Thap_South Vietnam		Vietnam	Asia		2599.0	31. Huangjiu	S3. Asian Fermentation	2	4115.0	0.00043922	Heterozygous	euploid
CGL	BMQ557	Peter et al. 2018	ERR1308895	315.88	Hai Phong_North Vietnam		Vietnam	Asia		2497.0	30. Mantou	S3. Asian Fermentation	2	7436.0	0.00079368	Heterozygous	euploid
CGN	SGB1	Peter et al. 2018	ERR1309087	223.87	Saigon_South Vietnam	Fermentation	Vietnam	Asia		2555.0	30. Mantou	S3. Asian Fermentation	2	7460.0	0.00079624	Heterozygous	euploid
CGP	SG4	Peter et al. 2018	ERR1309284	246.83	Saigon_South Vietnam		Vietnam	Asia		2556.0	30. Mantou	S3. Asian Fermentation	2	9340.0	0.00099691	Heterozygous	euploid
CGQ	RR1a	Peter et al. 2018	ERR1309461	259.5	My Tho_South Vietnam		Vietnam	Asia		2605.0	31. Huangjiu	S3. Asian Fermentation	2	3902.0	0.00041648	Heterozygous	euploid
CGR	VL5	Peter et al. 2018	ERR1309492	251.12	Phan Thiet_South Vietnam	Fermentation	Vietnam	Asia		2554.0	30. Mantou	S3. Asian Fermentation	2	5018.0	0.0005356	Heterozygous	euploid
CGS	Ca6	Peter et al. 2018	ERR1308721	234.67	Lebanon	Wine	Lebanon	Asia		137.0	1. AU Wine 1	S1. Wine	2	9.0	9.61e-07	Homozygous	euploid
CGT	Lib39	Peter et al. 2018	ERR1309219	263.55	Lebanon	Wine	Lebanon	Asia		138.0	1. AU Wine 1	S1. Wine	2	16.0	1.71e-06	Homozygous	euploid
CGV	Lib51	Peter et al. 2018	ERR1308815	186.75	Lebanon	Wine	Lebanon	Asia		562.0	6. West Europe Wine	S1. Wine	2	2739.0	0.00029235	Heterozygous	euploid
CHA	Lib52	Peter et al. 2018	ERR1309281	248.9	Lebanon	Wine	Lebanon	Asia		678.0	7. AU Wine 3	S1. Wine	2	21.0	2.24e-06	Homozygous	euploid
CHB	Lib54	Peter et al. 2018	ERR1309435	246.35	Lebanon	Wine	Lebanon	Asia		139.0	1. AU Wine 1	S1. Wine	2	3743.0	0.00039951	Heterozygous	euploid
CHC	Lib61	Peter et al. 2018	ERR1309386	300.68	Lebanon	Wine	Lebanon	Asia		540.0	6. West Europe Wine	S1. Wine	2	2252.0	0.00024037	Heterozygous	euploid
CHD	Lib70	Peter et al. 2018	ERR1309398	214.17	Lebanon	Wine	Lebanon	Asia		140.0	1. AU Wine 1	S1. Wine	2	6357.0	0.00067852	Heterozygous	euploid
CHE	Lib71	Peter et al. 2018	ERR1308874	202.23	Lebanon	Wine	Lebanon	Asia		563.0	6. West Europe Wine	S1. Wine	2	4136.0	0.00044146	Heterozygous	euploid
CHF	Lib73	Peter et al. 2018	ERR1309205	210.03	Lebanon	Wine	Lebanon	Asia		379.0		S1. Wine	2	12781.0	0.00136418	Heterozygous	euploid
CHG	324-6C	Peter et al. 2018	ERR1308990	224.65	Vietnam	Bakery	Vietnam	Asia		1901.0	21. Mixed Origins 2	S2. Beer	2	27118.0	0.00289444	Heterozygous	euploid
CHH	319-5C	Peter et al. 2018	ERR1308772	150.17	France	Bakery	France	Europe		1888.0	21. Mixed Origins 2	S2. Beer	2	25614.0	0.00273392	Heterozygous	aneu;+1*7;
CHI	646-3B	Peter et al. 2018	ERR1309321	176.65	USA	Bakery	USA	North America		1860.0	20. Mixed Origins 1	S2. Beer	2	28607.0	0.00305337	Heterozygous	euploid
CHK	Win-8B	Peter et al. 2018	ERR1309299	211.65	UK	Beer	United Kingdom	Europe		1883.0		S2. Beer	2	27295.0	0.00291334	Heterozygous	aneu;+1*9;
CHL	SBE-1C	Peter et al. 2018	ERR1309074	183.96	Northern Europe	Bakery	Northern Europe	Northern Europe		1777.0	20. Mixed Origins 1	S2. Beer	2	25341.0	0.00270478	Heterozygous	aneu;+1*13;+1*2;
CHM	SBD	Peter et al. 2018	ERR1308585	295.64	Northern Europe	Bakery	Northern Europe	Northern Europe		2596.0	31. Huangjiu	S3. Asian Fermentation	2	4235.0	0.00045202	Heterozygous	euploid
CHN	B9b-1	Peter et al. 2018	ERR1309164	218.02	Gif-sur-Yvette	Bakery	France	Europe		2339.0			2	27043.0	0.00288644	Heterozygous	euploid
CHP	B9c-1	Peter et al. 2018	ERR1309303	224.08	Gif-sur-Yvette	Bakery	France	Europe		2340.0			2	26760.0	0.00285623	Heterozygous	euploid
CHQ	B10-1	Peter et al. 2018	ERR1309460	277.2	Forcalquier	Bakery	France	Europe		2288.0			2	28696.0	0.00306287	Heterozygous	euploid
CHR	SC_29_F._Dromer_IP	Peter et al. 2018	ERR1309136	212.45	France	Human_clinical	France	Europe		1904.0	21. Mixed Origins 2	S2. Beer	2	29387.0	0.00313663	Heterozygous	euploid
CHS	SC_32_F._Dromer_IP	Peter et al. 2018	ERR1309373	221.27	France	Human_clinical	France	Europe		2182.0			2	17206.0	0.00183649	Heterozygous	euploid
CHT	SC_33_F._Dromer_IP	Peter et al. 2018	ERR1308919	286.24	France	Human_clinical	France	Europe		2183.0			2	17523.0	0.00187032	Heterozygous	euploid
CHV	SRC_120	Peter et al. 2018	ERR1309071	267.12	France	Cider	France	Europe		1284.0			2	89.0	9.5e-06	Homozygous	aneu;+1*11;+1*16;+1*9;
CIA	SRC_147	Peter et al. 2018	ERR1308712	263.23	Bretagne_France	Industrial	France	Europe		58.0	1. AU Wine 1	S1. Wine	2	18.0	1.92e-06	Homozygous	euploid
CIB	SRC_213	Peter et al. 2018	ERR1308828	220.19	Bretagne_France	Industrial	France	Europe		60.0	1. AU Wine 1	S1. Wine	2	18.0	1.92e-06	Homozygous	euploid
CIC	Ponton_11	Peter et al. 2018	ERR1308701	226.73	Spain	Human_clinical	Spain	Europe		2305.0			2	21812.0	0.00232811	Heterozygous	euploid
CID	Ponton_12	Peter et al. 2018	ERR1308602	234.54	Spain	Human_clinical	Spain	Europe		2332.0			2	17323.0	0.00184897	Heterozygous	euploid
CIE	Ponton_13	Peter et al. 2018	ERR1309210	211.89	Spain	Human_clinical	Spain	Europe		1824.0	20. Mixed Origins 1	S2. Beer	3	31284.0	0.0033391	Heterozygous	aneu;+2*1;-1*13;-1*8;
CIF	Ponton_14	Peter et al. 2018	ERR1309308	175.07	Spain	Human_clinical	Spain	Europe		2313.0			2	21790.0	0.00232576	Heterozygous	euploid
CIG	PB11	Peter et al. 2018	ERR1309289	246.26	Netherlands	Human_clinical	Netherlands	Europe		2222.0			2	24367.0	0.00260082	Heterozygous	euploid
CIH	PB12	Peter et al. 2018	ERR1309301	184.39	Netherlands	Human_clinical	Netherlands	Europe		2297.0			2	21698.0	0.00231594	Heterozygous	euploid
CII	PB13	Peter et al. 2018	ERR1308851	173.11	Netherlands	Human_clinical	Netherlands	Europe		2239.0			2	29536.0	0.00315253	Heterozygous	aneu;+1*7;
CIK	PB14	Peter et al. 2018	ERR1308929	208.11	Netherlands	Human_clinical	Netherlands	Europe		2240.0			2	29680.0	0.0031679	Heterozygous	aneu;+1*11;
CIL	PB15	Peter et al. 2018	ERR1308754	194.22	Netherlands	Human_clinical	Netherlands	Europe		2223.0			2	28706.0	0.00306394	Heterozygous	euploid
CIM	malade_Hc6553	Peter et al. 2018	ERR1309356	169.04	Paris_France_H6	Human_clinical	France	Europe		593.0	6. West Europe Wine	S1. Wine	2	1326.0	0.00014153	Heterozygous	aneu;+2*9;
CIN	malade_Pac6436	Peter et al. 2018	ERR1309462	175.85	Paris_France_H6	Human_clinical	France	Europe		590.0	6. West Europe Wine	S1. Wine	2	1329.0	0.00014185	Heterozygous	euploid
CIP	malade_6442	Peter et al. 2018	ERR1308710	179.2	Paris_France_H6	Human_clinical	France	Europe		591.0	6. West Europe Wine	S1. Wine	2	1206.0	0.00012872	Heterozygous	aneu;+1*11;+1*16;-1*3;+1*7;
CIQ	malade_6452	Peter et al. 2018	ERR1308942	176.69	Paris_France_H6	Human_clinical	France	Europe		585.0	6. West Europe Wine	S1. Wine	2	1202.0	0.0001283	Heterozygous	aneu;-1*3;
CIR	malade_6441	Peter et al. 2018	ERR1309005	179.04	Paris_France_H6	Human_clinical	France	Europe		594.0	6. West Europe Wine	S1. Wine	2	1318.0	0.00014068	Heterozygous	euploid
CIS	malade_Elbaz_6766	Peter et al. 2018	ERR1308688	200.21	Paris_France_H6	Human_clinical	France	Europe		589.0	6. West Europe Wine	S1. Wine	2	1327.0	0.00014164	Heterozygous	euploid
CIT	malade_459_Labaume	Peter et al. 2018	ERR1309265	186.06	Paris_France_H1	Human_clinical	France	Europe		604.0	6. West Europe Wine	S1. Wine	2	1263.0	0.00013481	Heterozygous	euploid
CIV	malade_1124/150017	Peter et al. 2018	ERR1309419	228.93	Paris_France_H2	Human_clinical	France	Europe		600.0	6. West Europe Wine	S1. Wine	2	1366.0	0.0001458	Heterozygous	euploid
CKA	malade_3285/11-2-4	Peter et al. 2018	ERR1309407	183.05	Paris_France_H3	Human_clinical	France	Europe		2171.0			2	20377.0	0.00217494	Heterozygous	euploid
CKB	malade_98_1655/125391	Peter et al. 2018	ERR1309453	164.46	Paris_France_H3	Human_clinical	France	Europe		608.0	6. West Europe Wine	S1. Wine	2	1390.0	0.00014836	Heterozygous	euploid
CKC	malade_139287/11_2_1	Peter et al. 2018	ERR1309213	162.96	Paris_France_H2	Human_clinical	France	Europe		588.0	6. West Europe Wine	S1. Wine	2	1364.0	0.00014559	Heterozygous	euploid
CKD	malade_97_138633/11-2-5	Peter et al. 2018	ERR1308905	174.17	Paris_France_H2	Human_clinical	France	Europe		599.0	6. West Europe Wine	S1. Wine	2	1409.0	0.00015039	Heterozygous	euploid
CKE	malade_141076/11210	Peter et al. 2018	ERR1309043	205.44	Paris_France_H2	Human_clinical	France	Europe		607.0	6. West Europe Wine	S1. Wine	2	1390.0	0.00014836	Heterozygous	euploid
CKF	malade_150865/1122	Peter et al. 2018	ERR1308887	163.0	Paris_France_H2	Human_clinical	France	Europe		592.0	6. West Europe Wine	S1. Wine	2	1248.0	0.00013321	Heterozygous	euploid
CKG	UL_G84F88I90	Peter et al. 2018	ERR1308941	202.13	Vietnam	Fruit	Vietnam	Asia		596.0	6. West Europe Wine	S1. Wine	2	1407.0	0.00015018	Heterozygous	euploid
CKH	ultra_lev._1127	Peter et al. 2018	ERR1308801	185.6	Paris_France	Industrial	France	Europe		598.0	6. West Europe Wine	S1. Wine	2	1401.0	0.00014954	Heterozygous	euploid
CKI	perentol	Peter et al. 2018	ERR1309436	195.14	Brussels_Belgium	Human_clinical	Belgium	Europe		597.0	6. West Europe Wine	S1. Wine	2	1409.0	0.00015039	Heterozygous	euploid
CKK	malade_98_3312	Peter et al. 2018	ERR1309226	155.28	Amiens_France	Human_clinical	France	Europe		1939.0	21. Mixed Origins 2	S2. Beer	4	53692.0	0.00573083	Heterozygous	euploid
CKL	malade_98_3161	Peter et al. 2018	ERR1308641	217.67	Amiens_France	Human_clinical	France	Europe		584.0	6. West Europe Wine	S1. Wine	2	1412.0	0.00015071	Heterozygous	euploid
CKM	malade_98_2574	Peter et al. 2018	ERR1309016	197.26	Amiens_France	Human_clinical	France	Europe		609.0	6. West Europe Wine	S1. Wine	2	1373.0	0.00014655	Heterozygous	euploid
CKN	malade_98_2601	Peter et al. 2018	ERR1308669	196.41	Amiens_France	Human_clinical	France	Europe		2221.0			2	38627.0	0.00412286	Heterozygous	euploid
CKP	malade_Broussais	Peter et al. 2018	ERR1308600	202.89	Paris_France	Human_clinical	France	Europe		603.0	6. West Europe Wine	S1. Wine	2	1193.0	0.00012734	Heterozygous	euploid
CKQ	malade_M2402A_Necker_	Peter et al. 2018	ERR1309065	192.45	France	Human_clinical	France	Europe		605.0	6. West Europe Wine	S1. Wine	2	1229.0	0.00013118	Heterozygous	euploid
CKR	malade_Darkman	Peter et al. 2018	ERR1308626	203.73	France	Human_clinical	France	Europe		2392.0	28. Baiju	S3. Asian Fermentation	2	4904.0	0.00052343	Heterozygous	aneu;+1*6;
